sp_id	sp_gq_id	age	sex
942532727	450008429	36	M
942532728	450008429	61	M
942532729	450008429	45	M
942532730	450008429	31	M
942532731	450008429	55	M
942532732	450008429	20	M
942532733	450008429	46	M
942532734	450008429	44	M
942532735	450008429	53	M
942532736	450008429	59	M
942532737	450008429	60	M
942532738	450008429	33	M
942532739	450008429	25	M
942532740	450008429	31	M
942532741	450008429	46	M
942532742	450008429	46	M
942532743	450008429	49	M
942532744	450008429	57	M
942532745	450008429	49	M
942532746	450008429	33	M
942532747	450008429	25	M
942532748	450008429	35	M
942532749	450008429	54	M
942532750	450008429	31	M
942532751	450008429	51	M
942532752	450008429	46	M
942532753	450008429	38	M
942532754	450008429	39	M
942532755	450008429	45	M
942532756	450008429	27	M
942532757	450008429	32	M
942532758	450008429	34	M
942532759	450008429	28	M
942532760	450008429	52	M
942532761	450008429	39	M
942532762	450008429	33	M
942532763	450008429	35	M
942532764	450008429	44	M
942532765	450008429	29	M
942532766	450008429	29	M
942532767	450008429	20	M
942532768	450008429	26	M
942532769	450008429	25	M
942532770	450008429	39	M
942532771	450008429	28	M
942532772	450008429	42	M
942532773	450008429	49	M
942532774	450008429	45	M
942532775	450008429	32	M
942532776	450008429	18	M
942532777	450008429	44	M
942532778	450008429	45	M
942532779	450008429	21	M
942532780	450008429	30	M
942532781	450008429	47	M
942532782	450008429	24	M
942532783	450008429	21	M
942532784	450008429	39	M
942532785	450008429	49	M
942532786	450008429	44	M
942532787	450008429	34	M
942532788	450008429	21	M
942532789	450008429	44	M
942532790	450008429	54	M
942532791	450008429	38	M
942532792	450008429	51	M
942532793	450008429	39	M
942532794	450008429	51	M
942532795	450008429	33	M
942532796	450008429	36	M
942532797	450008429	53	M
942532798	450008429	32	M
942532799	450008429	21	M
942532800	450008429	42	M
942532801	450008429	29	M
942532802	450008429	44	M
942532803	450008429	45	M
942532804	450008429	63	M
942532805	450008429	29	M
942532806	450008429	29	M
942532807	450008429	35	M
942532808	450008429	24	M
942532809	450008429	23	M
942532810	450008429	41	M
942532811	450008429	62	M
942532812	450008429	22	M
942532813	450008429	56	M
942532814	450008429	21	M
942532815	450008429	63	M
942532816	450008429	28	M
942532817	450008429	36	M
942532818	450008429	43	M
942532819	450008429	27	M
942532820	450008429	40	M
942532821	450008429	22	M
942532822	450008429	34	M
942532823	450008429	24	M
942532824	450008429	39	M
942532825	450008429	24	M
942532826	450008429	33	M
942532827	450008429	50	M
942532828	450008429	24	M
942532829	450008429	46	M
942532830	450008429	49	M
942532831	450008429	32	M
942532832	450008429	36	M
942532833	450008429	25	M
942532834	450008429	42	M
942532835	450008429	51	M
942532836	450008429	64	M
942532837	450008429	25	M
942532838	450008429	47	M
942532839	450008429	26	M
942532840	450008429	30	M
942532841	450008429	30	M
942532842	450008429	27	M
942532843	450008429	47	M
942532844	450008429	29	M
942532845	450008429	48	M
942532846	450008429	57	M
942532847	450008429	38	M
942532848	450008429	31	M
942532849	450008429	22	M
942532850	450008429	42	M
942532851	450008429	24	M
942532852	450008429	53	M
942532853	450008429	32	M
942532854	450008429	36	M
942532855	450008429	39	M
942532856	450008429	38	M
942532857	450008429	20	M
942532858	450008429	48	M
942532859	450008429	40	M
942532860	450008429	24	M
942532861	450008429	50	M
942532862	450008429	37	M
942532863	450008429	42	M
942532864	450008429	33	M
942532865	450008429	22	M
942532866	450008429	50	M
942532867	450008429	42	M
942532868	450008429	24	M
942532869	450008429	33	M
942532870	450008429	38	M
942532871	450008429	54	M
942532872	450008429	54	M
942532873	450008429	21	M
942532874	450008429	40	M
942532875	450008429	21	M
942532876	450008429	36	M
942532877	450008429	35	M
942532878	450008429	30	M
942532879	450008429	24	M
942532880	450008429	27	M
942532881	450008429	46	M
942532882	450008429	49	M
942532883	450008429	44	M
942532884	450008429	43	M
942532885	450008429	20	M
942532886	450008429	41	M
942532887	450008429	43	M
942532888	450008429	32	M
942532889	450008429	25	M
942532890	450008429	20	M
942532891	450008429	31	M
942532892	450008429	34	M
942532893	450008429	30	M
942532894	450008429	34	M
942532895	450008429	56	M
942532896	450008429	33	M
942532897	450008429	39	M
942532898	450008429	59	M
942532899	450008429	24	M
942532900	450008429	19	M
942532901	450008429	29	M
942532902	450008429	20	M
942532903	450008429	47	M
942532904	450008429	29	M
942532905	450008429	37	M
942532906	450008429	33	M
942532907	450008429	56	M
942532908	450008429	54	M
942532909	450008429	24	M
942532910	450008429	35	M
942532911	450008429	38	M
942532912	450008429	37	M
942532913	450008429	35	M
942532914	450008429	56	M
942532915	450008429	29	M
942532916	450008429	43	M
942532917	450008429	24	M
942532918	450008429	27	M
942532919	450008429	21	M
942532920	450008429	44	M
942532921	450008429	23	M
942532922	450008429	20	M
942532923	450008429	34	M
942532924	450008429	48	M
942532925	450008429	26	M
942532926	450008429	46	M
942532927	450008429	31	M
942532928	450008429	31	M
942532929	450008429	55	M
942532930	450008429	46	M
942532931	450008429	29	M
942532932	450008429	49	M
942532933	450008429	33	M
942532934	450008429	52	M
942532935	450008429	31	M
942532936	450008429	41	M
942532937	450008429	23	M
942532938	450008429	47	M
942532939	450008429	42	M
942532940	450008429	20	M
942532941	450008429	19	M
942532942	450008429	38	M
942532943	450008429	54	M
942532944	450008429	39	M
942532945	450008429	23	M
942532946	450008429	46	M
942532947	450008429	35	M
942532948	450008429	46	M
942532949	450008429	48	M
942532950	450008429	36	M
942532951	450008429	40	M
942532952	450008429	49	M
942532953	450008429	37	M
942532954	450008429	36	M
942532955	450008429	29	M
942532956	450008429	40	M
942532957	450008429	48	M
942532958	450008429	48	M
942532959	450008429	36	M
942532960	450008429	40	M
942532961	450008429	32	M
942532962	450008429	32	M
942532963	450008429	24	M
942532964	450008429	46	M
942532965	450008429	36	M
942532966	450008429	44	M
942532967	450008429	32	M
942532968	450008429	47	M
942532969	450008429	52	M
942532970	450008429	47	M
942532971	450008429	24	M
942532972	450008429	46	M
942532973	450008429	37	M
942532974	450008429	27	M
942532975	450008429	22	M
942532976	450008429	26	M
942532977	450008429	41	M
942532978	450008429	45	M
942532979	450008429	24	M
942532980	450008429	44	M
942532981	450008429	44	M
942532982	450008429	50	M
942532983	450008429	29	M
942532984	450008429	33	M
942532985	450008429	54	M
942532986	450008429	31	M
942532987	450008429	46	M
942532988	450008429	56	M
942532989	450008429	56	M
942532990	450008429	20	M
942532991	450008429	20	M
942532992	450008429	31	M
942532993	450008429	50	M
942532994	450008429	43	M
942532995	450008429	46	M
942532996	450008429	45	M
942532997	450008429	42	M
942532998	450008429	20	M
942532999	450008429	33	M
942533000	450008429	50	M
942533001	450008429	32	M
942533002	450008429	22	M
942533003	450008429	50	M
942533004	450008429	44	M
942533005	450008429	39	M
942533006	450008429	38	M
942533007	450008429	46	M
942533008	450008429	33	M
942533009	450008429	37	M
942533010	450008429	39	M
942533011	450008429	35	M
942533012	450008429	35	M
942533013	450008429	46	M
942533014	450008429	38	M
942533015	450008429	35	M
942533016	450008429	31	M
942533017	450008429	22	M
942533018	450008429	43	M
942533019	450008429	29	M
942533020	450008429	25	M
942533021	450008429	20	M
942533022	450008429	31	M
942533023	450008429	28	M
942533024	450008429	46	M
942533025	450008429	60	M
942533026	450008429	54	M
942533027	450008429	38	M
942533028	450008429	30	M
942533029	450008429	33	M
