hosp_id	workers	physicians	beds	latitude	longitude
000000002	909	21	200	40.346519	-79.855764
000000029	2261	10	495	40.436276	-79.985191
000000030	1345	136	471	40.469444	-79.95553
000000034	1035	2	250	40.626449	-79.723195
000000035	270	4	55	40.475759	-80.036577
000000038	980	13	186	40.543028	-80.178509
000000052	3907	283	829	40.451164	-79.999803
000000056	1836	17	473	40.45514	-79.94113
000000077	354	7	154	40.495299	-80.060594
000000092	2112	243	500	40.461078	-79.946455
000000104	954	68	237	40.490542	-79.907063
000000108	1654	1	346	40.570051	-80.021897
000000116	1973	23	341	40.437381	-79.961157
000000122	15206	0	0	590	40.477025
000000130	526	1	250	40.411207	-79.872278
000000131	15240	0	0	686	40.446075
000000133	567	2	150	40.425633	-79.97779
000000137	15212	401	3	146	40.455924
000000143	434	1	148	40.442388	-79.961493
000000150	0	0	336	40.444807	-79.951152
000000158	421	9	138	40.465986	-80.100964
000000165	3135	31	1571	40.44246	-79.960253
000000174	600	4	175	40.446373	-79.891593
000000178	129	12	94	40.444004	-80.178224
000000218	1742	2	328	40.366906	-80.086822
000000219	2566	228	600	40.436008	-79.961733
000000228	69	9	13	40.465226	-79.929931
000000243	473	24	202	40.438565	-79.988868
000000245	1690	20	390	40.351389	-79.960502
000000247	1173	27	353	40.43097	-79.7763
000000260	43	0	49	40.444004	-80.178224
000000261	15219	23	0	41	40.436276
000000283	21	0	35	40.689877	-80.30802
000000285	26	0	32	40.44246	-79.960253
000000286	26	0	30	40.346519	-79.855764
000000296	32	0	72	40.455924	-80.002261
000000310	73	0	156	40.416399	-79.758507
000000316	0	0	46	40.454067	-80.033874
000000317	0	0	87	40.444886	-79.986584
000000318	0	0	280	40.447734	-79.951267
000000319	0	0	12	40.403447	-80.023363
000000325	0	0	1	40.369225	-80.035406
000000348	195	1	85	40.587285	-80.17057
000000350	406	4	196	40.446373	-79.891593
000000354	149	0	63	40.444004	-80.178224
000000355	23	0	41	40.44459	-79.975884
000000367	253	0	89	40.424883	-79.745605
000000370	15213	48	0	32	40.44246
000000371	15132	26	0	30	40.346519
000000375	88	0	72	40.455924	-80.002261
000000379	382	0	162	40.538727	-79.900461
000000381	187	5	85	40.587285	-80.17057
000000394	290	0	85	40.443402	-79.919731
000000395	262	0	89	40.424883	-79.745605
000000397	67	0	44	40.537057	-80.151008
000000400	245	3	38	40.44207	-79.919227
000000411	1977	136	312	40.466512	-79.953041
000000413	9	0	16	40.464307	-79.93742
000000417	15217	221	6	62	40.44207
000000423	282	9	500	40.402902	-80.082979
000000432	798	16	400	40.351874	-80.091053
000000436	470	78	277	40.456731	-79.954846
000000450	185	16	94	40.444004	-80.178224
000000452	206	2	89	40.475759	-80.036577
000000463	0	0	0	40.44246	-79.960253
000000465	0	0	0	40.466512	-79.953041
000000466	0	0	0	40.451164	-79.999803
