sp_id	latitude	longitude
513955410	40.4132047	-79.8218767
513969062	40.4957220	-79.9156177
513976658	40.5228620	-79.9460377
513979065	40.3401120	-79.9570177
513502817	40.2860990	-79.5426578
513968691	40.4505820	-79.9142477
514021735	40.3814821	-80.2029876
514022351	40.4409600	-80.2128656
514017422	40.3439421	-80.1367376
514015616	40.3584521	-80.1225577
513976477	40.5963120	-79.9480777
513486070	40.0513326	-79.8959872
513938027	40.6033120	-79.5607378
513985516	40.4285420	-79.9877477
513486428	40.2699221	-79.8905977
513953690	40.3775020	-79.8009177
513960186	40.5517130	-79.8646157
513484421	40.1983521	-79.9335077
513571768	40.0702320	-76.7128517
513953521	40.5420320	-79.7988977
513485097	40.2971627	-79.9086552
514006420	40.8580720	-80.0620276
513468443	40.1224721	-80.2920976
513987010	40.3773320	-79.9904577
513967022	40.4395220	-79.8972477
513479762	40.3123611	-80.0330867
513984600	40.4289820	-79.9828577
513995473	40.6260120	-80.0190977
514015525	40.3589421	-80.1148777
513971354	40.5758820	-79.9267777
513991665	40.4386320	-80.0031077
514560971	42.0768117	-80.2028975
513970262	40.4231990	-79.9239497
513952597	40.4452620	-79.7877177
513469865	40.1641521	-80.2448586
513506234	40.3061420	-79.4516039
513480057	40.3284721	-80.0222977
513998052	40.5738720	-80.0302677
514506238	41.6287740	-83.5052285
513964387	40.4866490	-79.8883137
514009109	40.6286120	-80.0682276
513473708	40.2795791	-80.1715516
513476797	40.3150401	-80.0892417
514013648	40.6902620	-80.1023476
514011015	40.6548620	-80.0877576
513983863	40.3674820	-79.9806177
513960292	40.4266770	-79.8624767
514256909	40.9653379	-80.3069265
513480637	40.2904321	-80.0265577
513963096	40.3916120	-79.8791177
514017469	40.3411021	-80.1421076
514016412	40.4272434	-80.1250146
513947002	40.4807220	-79.7437778
513480279	40.3077421	-80.0321477
513967081	40.4881820	-79.8981177
514018444	40.5586842	-80.1579237
514019586	40.5015020	-80.1724476
512476293	43.1136114	-77.6241182
513968643	40.4723820	-79.9115177
513982925	40.4571920	-79.9740377
513480121	40.3340621	-80.0252077
514005081	40.6257820	-80.0540277
514019038	40.5363020	-80.1570876
513963067	40.3603120	-79.8765377
513482580	40.3127821	-79.9848277
514003033	40.5541120	-80.0507077
514005462	40.5026920	-80.0590277
513983880	40.3814220	-79.9804377
513953240	40.3766300	-79.8075137
513474392	40.2632321	-80.1648176
513996071	40.5242320	-80.0164677
513486291	40.1325821	-79.8959877
514009937	40.3621320	-80.0764377
513504107	40.2998130	-79.5235648
513469554	40.2366321	-80.2767976
513968418	40.6182220	-79.9155077
514018869	40.4447920	-80.1494276
513495597	39.8990421	-79.7093178
513572751	40.0820430	-76.7018237
513981404	40.5611020	-79.9677677
514257007	40.9888319	-80.3171175
513987156	40.4556960	-79.9956697
506342502	41.8817921	-87.6370812
514004002	40.5556920	-80.0524577
513942702	40.5112240	-79.6842208
514002838	40.3725820	-80.0507177
513470580	40.1691221	-80.2426976
514002320	40.4925620	-80.0489477
514032465	40.6348800	-80.4510505
514244101	41.0998319	-80.6438974
514018234	40.4552740	-80.1440236
514011136	40.3729690	-80.0924657
513474137	40.2719964	-80.1567766
513998897	40.5204220	-80.0326677
513970016	40.4339220	-79.9167877
514022262	40.4436600	-80.2168206
513972005	40.4230520	-79.9241277
513490006	40.2868271	-79.8056138
513494206	40.3029220	-79.7212178
514001154	40.3863910	-80.0477747
514021570	40.4595220	-80.1922376
513945434	40.4818100	-79.7248188
514026526	40.5682220	-80.2682376
513476642	40.3186221	-80.1123677
513472320	40.3211921	-80.1993576
513946380	40.5908910	-79.7347388
511815338	40.3508818	-74.6553654
513988910	40.4405720	-79.9963877
514142640	41.3131880	-81.9563110
513969631	40.4737820	-79.9179877
513968974	40.4239920	-79.9125177
513958803	40.4217220	-79.8451677
514008799	40.3922820	-80.0727777
513979523	40.4716820	-79.9598877
513477599	40.3099421	-80.0985277
513945720	40.6282920	-79.7198678
514001335	40.6056330	-80.0470637
514010709	40.5100220	-80.0847476
514021721	40.6829020	-80.1971476
513981723	40.4284020	-79.9723577
513963790	40.4539120	-79.8841077
514009972	40.3618921	-80.0772677
514003054	40.3405221	-80.0500277
514022527	40.5020320	-80.2113376
514008900	40.3534721	-80.0740377
513989783	40.4418220	-79.9979677
513494639	39.8979321	-79.7237178
514023807	40.5322220	-80.2240576
513998075	40.5421220	-80.0278777
513966954	40.5097320	-79.9010277
513490888	40.3341620	-79.7775818
514037841	40.3600021	-80.6771175
513474299	40.2973321	-80.1743576
513857451	40.6149718	-75.4602491
513954039	40.5276020	-79.8025777
514008816	40.3907520	-80.0707577
513987190	40.4421730	-79.9948137
513957138	40.4038500	-79.8380967
513945029	40.4807420	-79.7156578
513981085	40.3473720	-79.9638177
513996535	40.4062020	-80.0233577
513473458	40.2855421	-80.1778076
514469890	41.5007729	-81.6824301
513963028	40.4652720	-79.8767577
513950870	40.5268620	-79.7709677
513960068	40.6289120	-79.8568677
513943051	40.5142420	-79.6725878
513985914	40.4399920	-79.9861477
513960671	40.3476920	-79.8638677
513961797	40.4385520	-79.8696677
511815801	40.3493018	-74.6538094
514007334	40.6337540	-80.0646336
513497281	40.1016471	-79.6349508
513958456	40.6595522	-79.8473067
513961061	40.4788020	-79.8591977
513943827	40.4442620	-79.7065578
513951838	40.4035520	-79.7786978
513952259	40.4321690	-79.7897887
513997896	40.4492020	-80.0272077
513996538	40.4236320	-80.0240677
513992563	40.4522520	-80.0050577
513938725	40.5976920	-79.5670828
513975834	40.4994720	-79.9454877
513506593	39.9479421	-79.4542479
513916706	40.7772419	-77.8898283
513966116	40.3753520	-79.8942877
514021536	40.5208420	-80.1960876
513501986	40.2739040	-79.5463298
514004040	40.3409721	-80.0519277
513986376	40.3511840	-79.9942867
513949694	40.4471020	-79.7660478
513984136	40.4259200	-79.9835007
513507416	40.3161920	-79.3752579
513968623	40.4621120	-79.9090577
514261680	40.8830989	-79.8632707
513940363	40.4173310	-79.6280388
513968616	40.4548320	-79.9126577
514024534	40.5722232	-80.2355124
513967927	40.4488920	-79.9084877
513595674	39.8849620	-76.3357389
513944886	40.4826520	-79.7161778
513954724	40.4364020	-79.8143177
513947817	40.5893420	-79.7478977
514020305	40.5402540	-80.1825736
513965712	40.4701220	-79.8944177
514021528	40.4514720	-80.2061676
513937093	40.8114719	-79.5175378
514006702	40.4215320	-80.0627777
513938579	40.6293980	-79.5889618
513480847	40.2526461	-80.0044957
513951823	40.4018620	-79.7780978
513962100	40.3886320	-79.8712977
513957528	40.3400020	-79.8369277
514014833	40.4403020	-80.1066976
514020678	40.3981320	-80.1748776
513966662	40.4015420	-79.9031577
513953416	40.3374750	-79.8086957
513942386	40.4262400	-79.6765328
513940307	40.3952550	-79.6279048
513978991	40.5193820	-79.9574277
513990816	40.4425220	-80.0008477
514001587	40.4015120	-80.0428977
514018350	40.4484020	-80.1572286
513988917	40.4433720	-79.9972877
514021032	40.5439420	-80.1875876
513987455	40.4572320	-79.9946077
513489569	40.3194120	-79.8351777
514006577	40.4573420	-80.0628277
513944807	40.6364720	-79.7128078
513947967	40.4801520	-79.7465478
513487897	40.1876691	-79.8614957
514033524	40.4222721	-80.5078475
513489021	40.3320710	-79.8453037
513478186	40.3249721	-80.0721977
513984998	40.3784020	-79.9810677
513485325	40.1371321	-79.9029977
513962098	40.3632820	-79.8690377
514012849	40.4792920	-80.0933276
503629928	21.3090766	-157.8635866
513984280	40.4516640	-79.9815407
513999053	40.5404520	-80.0329977
513494711	40.2625201	-79.7147978
514035500	40.3551811	-80.6177395
513963260	40.5782870	-79.8867847
518092572	47.6336844	-122.1831961
513972439	40.4581420	-79.9305377
513992847	40.4390920	-80.0063277
