sp_id	gq_type	stcotrbg	persons	latitude	longitude
450004650	C	420659512002	148	40.9473968	-78.9880843
450004651	C	420659513002	20	40.9420132	-78.9714095
450008460	P	420659506001	79	41.1681764	-79.0548788
450022046	P	420659506001	17	41.1623427	-79.0117065
450030495	N	420659505002	141	41.1537000	-79.0954820
450030496	N	420659506001	189	41.1627710	-79.0569700
450036345	N	420659513002	34	40.9441434	-78.9686968
450040313	N	420659501002	45	41.2459890	-78.7875650
450042411	N	420659513002	33	40.9427010	-78.9768570
450047487	N	420659503001	18	41.1977398	-78.8344733
