sp_id	stcotrbg	hh_race	hh_income	latitude	longitude
11043889	420659501001	1	13800	41.2504738	-78.8020092
11043890	420659501001	1	50100	41.2489389	-78.7920583
11043891	420659501001	1	17900	41.2501511	-78.8012828
11043892	420659501001	1	23000	41.2499543	-78.8012680
11043893	420659501001	1	39500	41.2486304	-78.7875176
11043894	420659501001	1	17300	41.2502748	-78.8012257
11043895	420659501001	1	36300	41.2516576	-78.7851551
11043896	420659501001	1	12400	41.2479113	-78.7871405
11043897	420659501001	1	17100	41.2487364	-78.7918694
11043898	420659501001	1	15000	41.2519520	-78.7856109
11043899	420659501001	1	15000	41.2516547	-78.7856670
11043900	420659501001	1	63800	41.2488905	-78.7926881
11043901	420659501001	1	50000	41.2490770	-78.7920505
11043902	420659501001	1	47000	41.2488903	-78.7921647
11043903	420659501001	1	5200	41.2518052	-78.7852659
11043904	420659501001	1	131000	41.2512391	-78.7849653
11043905	420659501001	1	170000	41.2518251	-78.7851671
11043906	420659501001	1	22700	41.2483605	-78.7877988
11043907	420659501001	1	15900	41.2500994	-78.7863163
11043908	420659501001	1	15600	41.2517311	-78.7852334
11043909	420659501001	1	9300	41.2519358	-78.7857562
11043910	420659501001	1	97800	41.2513349	-78.7850570
11043911	420659501001	1	142000	41.2512521	-78.7849574
11043912	420659501001	1	600	41.2520214	-78.7857921
11043913	420659501001	1	33740	41.2515898	-78.7852498
11043914	420659501001	1	107000	41.2514173	-78.7859175
11043915	420659501001	1	22800	41.2496870	-78.7864635
11043916	420659501001	1	6500	41.2512530	-78.7854067
11043917	420659501001	1	4520	41.2512512	-78.7853126
11043918	420659501001	1	8500	41.2518556	-78.7857246
11043919	420659501001	1	62200	41.2494912	-78.7853429
11043920	420659501001	1	22400	41.2512836	-78.7849752
11043921	420659501001	1	73500	41.2497636	-78.7853512
11043922	420659501001	1	146400	41.2485767	-78.7870956
11043923	420659501001	1	8400	41.2498762	-78.7856475
11043924	420659501001	1	26000	41.2495814	-78.7864030
11043925	420659501001	1	51000	41.2501324	-78.7853401
11043926	420659501001	1	292000	41.2500138	-78.7852037
11043927	420659501001	1	8800	41.2499890	-78.7852479
11043928	420659501001	1	26600	41.2500159	-78.7856562
11043929	420659501001	1	382960	41.2500201	-78.7856076
11043930	420659501001	1	50000	41.2481627	-78.7870326
11043931	420659501001	1	14400	41.2497192	-78.7864309
11043932	420659501001	1	93530	41.2496719	-78.7859625
11043933	420659501001	1	3900	41.2499129	-78.7855661
11043934	420659501001	1	88300	41.2498317	-78.7858987
11043935	420659501001	1	16000	41.2502013	-78.7854454
11043936	420659501001	1	18200	41.2499839	-78.7857979
11043937	420659501001	1	16500	41.2496879	-78.8013627
11043938	420659501001	1	61100	41.2497565	-78.7877959
11043939	420659501001	1	91900	41.2479293	-78.7879421
11043940	420659501001	1	51000	41.2482946	-78.7871660
11043941	420659501001	1	131000	41.2505622	-78.8020831
11043942	420659501001	1	28980	41.2486362	-78.7871814
11043943	420659501001	1	121200	41.2487000	-78.7875639
11043944	420659501001	1	21600	41.2479726	-78.7878673
11043945	420659501001	1	9600	41.2485527	-78.7871584
11043946	420659501001	1	28000	41.2480979	-78.7872062
11043947	420659501001	1	17900	41.2480035	-78.7879116
11043948	420659501001	1	12000	41.2483685	-78.7871973
11043949	420659501001	1	28000	41.2483910	-78.7870575
11043950	420659501001	1	54800	41.2483369	-78.7878353
11043951	420659501001	1	220000	41.2500534	-78.7886891
11043952	420659501001	1	48700	41.2496100	-78.8014724
11043953	420659501001	1	293000	41.2486568	-78.7962594
11043954	420659501001	1	117000	41.2485698	-78.7872267
11043955	420659501001	1	53600	41.2487884	-78.7959064
11043956	420659501001	1	89000	41.2497111	-78.8023753
11043957	420659501001	1	34000	41.2486710	-78.7953777
11043958	420659501001	1	24500	41.2495181	-78.8013575
11043959	420659501001	1	91600	41.2500215	-78.7876651
11043960	420659501001	1	52800	41.2505193	-78.7875805
11043961	420659501001	1	19140	41.2498619	-78.7883545
11043962	420659501001	1	89100	41.2500045	-78.7878937
11043963	420659501001	1	21600	41.2500982	-78.7879744
11043964	420659501001	1	72500	41.2504392	-78.7881601
11043965	420659501001	1	57000	41.2500959	-78.7878345
11043966	420659501001	1	16500	41.2502008	-78.8021632
11043967	420659501001	1	33900	41.2506155	-78.8021367
11043968	420659501001	1	30000	41.2503830	-78.8010114
11043969	420659501001	1	20200	41.2503573	-78.7878819
11043970	420659501001	1	38500	41.2504362	-78.7881411
11043971	420659501001	1	95000	41.2499623	-78.7883543
11043972	420659501001	1	10000	41.2500618	-78.8018841
11043973	420659501001	1	50000	41.2497752	-78.7847597
11043974	420659501001	1	27700	41.2505742	-78.8020510
11043975	420659501001	1	34200	41.2494353	-78.7877974
11043976	420659501001	1	7600	41.2499237	-78.7843511
11043977	420659501001	1	20900	41.2499003	-78.8011515
11043978	420659501001	1	73300	41.2502098	-78.7947293
11043979	420659501001	1	23600	41.2498607	-78.7943009
11043980	420659501001	1	84000	41.2511733	-78.7863292
11043981	420659501001	1	17100	41.2495569	-78.7842516
11043982	420659501001	1	10000	41.2498388	-78.7841366
11043983	420659501001	1	9800	41.2503186	-78.7942181
11043984	420659501001	1	27000	41.2500437	-78.7840465
11043985	420659501001	1	73600	41.2495313	-78.7850754
11043986	420659501001	1	35900	41.2499619	-78.7844813
11043987	420659501001	1	12700	41.2500860	-78.7848498
11043988	420659501001	1	94000	41.2497993	-78.7850739
11043989	420659501001	1	24200	41.2494167	-78.7843050
11043990	420659501001	1	12000	41.2500012	-78.7842895
11043991	420659501001	1	22900	41.2506192	-78.7874593
11043992	420659501001	1	86000	41.2495910	-78.7871599
11043993	420659501001	1	10400	41.2495301	-78.8008574
11043994	420659501001	1	14000	41.2494515	-78.8008617
11043995	420659501001	1	15400	41.2494903	-78.8009948
11043996	420659501001	1	15600	41.2500778	-78.7874504
11043997	420659501001	1	55990	41.2500777	-78.7872051
11043998	420659501001	1	16800	41.2499594	-78.7869170
