sp_id	sp_hh_id	age	sex	race	relate	school_id	work_id
164281596	11048181	42	M	1	0	X	514269692
164281599	11049475	41	F	1	1	X	514267988
164281603	11051921	41	F	1	1	X	514267791
164281604	11053415	42	M	1	0	X	514270908
164281606	11055298	42	M	1	0	X	514268126
164281607	11055298	41	F	1	1	X	514267974
164281608	11056301	42	M	1	0	X	514269445
164281610	11056740	42	M	1	0	X	514269279
164281611	11056740	41	F	1	1	X	514270454
164281612	11057213	42	M	1	0	X	514268812
164281613	11057213	41	F	1	1	X	513927717
164281616	11060042	42	M	1	0	X	514268862
164281617	11060042	41	F	1	1	X	514269445
164281620	11061876	42	M	1	0	X	514269380
164281621	11061876	41	F	1	1	X	514270454
164380019	11054752	64	M	1	1	X	514270090
164380020	11054752	61	F	1	0	X	X
164380021	11056775	64	M	1	1	X	514269827
164380022	11056775	61	F	1	0	X	X
164571822	11048827	71	F	1	1	X	X
164571823	11048827	73	M	1	0	X	514268152
164571824	11048827	42	M	1	2	X	514267977
164571826	11049450	73	M	1	0	X	514268289
164581169	11045631	52	M	1	1	X	514270712
164581171	11045631	48	F	1	0	X	X
164581174	11045692	48	F	1	0	X	X
164581176	11048795	2	F	1	2	X	X
164581177	11048795	48	F	1	0	X	X
164581179	11062424	2	F	1	2	X	X
164581180	11062424	48	F	1	0	X	X
164624838	11047350	61	M	1	1	X	514270454
164624840	11052172	61	M	1	1	X	514267648
164697802	11050939	8	M	1	2	450066968	X
164697803	11050939	35	M	1	1	X	X
164697804	11050939	12	F	1	2	450067304	X
164697805	11050939	32	F	1	0	X	514268152
164697806	11054443	8	M	1	2	450066968	X
164794402	11061326	52	M	1	1	X	X
164841474	11061680	34	F	1	0	X	X
164912830	11044147	79	F	1	0	X	X
164912831	11057507	79	F	1	0	X	X
164918587	11053358	38	F	1	1	X	514270908
164918592	11059125	45	M	1	0	X	514268680
164918593	11059607	38	F	1	1	X	514268027
164918595	11059607	45	M	1	0	X	514269215
165051008	11051205	56	F	1	1	X	514268166
165051009	11052152	76	M	1	0	X	X
165051010	11052152	56	F	1	1	X	514268376
165051014	11061930	56	F	1	1	X	514269242
165051015	11062248	76	M	1	0	X	X
165101667	11044233	81	M	1	0	X	X
165101668	11044233	79	F	1	1	X	X
165101669	11046392	81	M	1	0	X	X
165101672	11057494	79	F	1	1	X	X
165101677	11059372	82	F	1	0	X	X
165108890	11047109	49	M	1	0	X	514268255
165108892	11047109	25	M	1	2	X	514269648
165108896	11054939	49	M	1	0	X	514270742
165108897	11054939	49	F	1	1	X	514270113
165108898	11054939	25	M	1	2	X	514270117
165108899	11057986	49	M	1	0	X	513927804
165108900	11057986	49	F	1	1	X	514269437
165108901	11057986	25	M	1	2	X	513977782
165108902	11058259	49	M	1	0	X	514268522
165108904	11058259	25	M	1	2	X	514267880
165108907	11059640	25	M	1	2	X	514268812
165237029	11049723	79	F	1	0	X	X
165237032	11053000	79	F	1	0	X	X
165237034	11053000	43	M	1	2	X	514267988
165281734	11046981	57	M	1	0	X	514267727
165281736	11047494	9	F	1	5	450129160	X
165281738	11053810	52	F	1	1	X	514270908
165281739	11053810	9	F	1	5	450111632	X
165281740	11053810	57	M	1	0	X	514269550
165281741	11054768	52	F	1	1	X	514271525
165281743	11054768	57	M	1	0	X	514269525
165281744	11057647	52	F	1	1	X	513932694
165281746	11057647	57	M	1	0	X	514270332
165281747	11058985	52	F	1	1	X	514269175
165281749	11058985	57	M	1	0	X	514268338
165355522	11047217	18	F	1	2	450110845	X
165355524	11047664	18	F	1	2	450110702	X
165355525	11047664	34	F	1	0	X	506241198
165355529	11048670	34	F	1	0	X	514268386
165355530	11052913	18	F	1	2	450132231	X
165355531	11052913	34	F	1	0	X	514267710
165355533	11057633	34	F	1	0	X	513916678
165355534	11057762	18	F	1	2	450150577	X
165355535	11057762	34	F	1	0	X	514268752
165784264	11051281	55	M	1	0	X	X
165784265	11051281	14	F	1	2	450129160	X
165784266	11051281	52	F	1	1	X	X
165784267	11051281	18	M	1	2	X	X
165807765	11054676	77	M	1	0	X	X
165888205	11045940	53	M	1	0	X	514269734
165888206	11046404	53	F	1	1	X	514268309
165888207	11046404	21	M	1	2	X	514269732
165888208	11046404	53	M	1	0	X	514269085
165888211	11047475	53	M	1	0	X	514268004
165888213	11048309	21	M	1	2	X	514268285
165888217	11049957	53	M	1	0	X	514268393
