"Notes"	"State"	"State Code"	"Age of Mother"	"Age of Mother Code"	Fertility Rate
	"Alabama"	"01"	"15-19 years"	"15-19"	43.63
	"Alabama"	"01"	"20-24 years"	"20-24"	105.75
	"Alabama"	"01"	"25-29 years"	"25-29"	112.40
	"Alabama"	"01"	"30-34 years"	"30-34"	76.44
	"Alabama"	"01"	"35-39 years"	"35-39"	29.17
	"Alabama"	"01"	"40-44 years"	"40-44"	6.04
	"Alaska"	"02"	"15-19 years"	"15-19"	38.30
	"Alaska"	"02"	"20-24 years"	"20-24"	133.90
	"Alaska"	"02"	"25-29 years"	"25-29"	132.01
	"Alaska"	"02"	"30-34 years"	"30-34"	107.42
	"Alaska"	"02"	"35-39 years"	"35-39"	45.83
	"Alaska"	"02"	"40-44 years"	"40-44"	11.96
	"Arizona"	"04"	"15-19 years"	"15-19"	41.86
	"Arizona"	"04"	"20-24 years"	"20-24"	105.02
	"Arizona"	"04"	"25-29 years"	"25-29"	116.74
	"Arizona"	"04"	"30-34 years"	"30-34"	94.83
	"Arizona"	"04"	"35-39 years"	"35-39"	44.38
	"Arizona"	"04"	"40-44 years"	"40-44"	9.59
	"Arkansas"	"05"	"15-19 years"	"15-19"	52.49
	"Arkansas"	"05"	"20-24 years"	"20-24"	124.02
	"Arkansas"	"05"	"25-29 years"	"25-29"	115.52
	"Arkansas"	"05"	"30-34 years"	"30-34"	74.11
	"Arkansas"	"05"	"35-39 years"	"35-39"	28.24
	"Arkansas"	"05"	"40-44 years"	"40-44"	5.31
	"California"	"06"	"15-19 years"	"15-19"	31.52
	"California"	"06"	"20-24 years"	"20-24"	81.28
	"California"	"06"	"25-29 years"	"25-29"	102.52
	"California"	"06"	"30-34 years"	"30-34"	101.61
	"California"	"06"	"35-39 years"	"35-39"	56.94
	"California"	"06"	"40-44 years"	"40-44"	14.29
	"Colorado"	"08"	"15-19 years"	"15-19"	33.43
	"Colorado"	"08"	"20-24 years"	"20-24"	86.27
	"Colorado"	"08"	"25-29 years"	"25-29"	103.03
	"Colorado"	"08"	"30-34 years"	"30-34"	99.13
	"Colorado"	"08"	"35-39 years"	"35-39"	50.64
	"Colorado"	"08"	"40-44 years"	"40-44"	11.35
	"Connecticut"	"09"	"15-19 years"	"15-19"	18.66
	"Connecticut"	"09"	"20-24 years"	"20-24"	58.27
	"Connecticut"	"09"	"25-29 years"	"25-29"	89.65
	"Connecticut"	"09"	"30-34 years"	"30-34"	109.46
	"Connecticut"	"09"	"35-39 years"	"35-39"	55.71
	"Connecticut"	"09"	"40-44 years"	"40-44"	11.67
	"Delaware"	"10"	"15-19 years"	"15-19"	30.50
	"Delaware"	"10"	"20-24 years"	"20-24"	86.86
	"Delaware"	"10"	"25-29 years"	"25-29"	114.70
	"Delaware"	"10"	"30-34 years"	"30-34"	100.05
	"Delaware"	"10"	"35-39 years"	"35-39"	45.88
	"Delaware"	"10"	"40-44 years"	"40-44"	8.64
	"District of Columbia"	"11"	"15-19 years"	"15-19"	45.35
	"District of Columbia"	"11"	"20-24 years"	"20-24"	52.93
	"District of Columbia"	"11"	"25-29 years"	"25-29"	53.25
	"District of Columbia"	"11"	"30-34 years"	"30-34"	86.70
	"District of Columbia"	"11"	"35-39 years"	"35-39"	67.84
	"District of Columbia"	"11"	"40-44 years"	"40-44"	19.68
	"Florida"	"12"	"15-19 years"	"15-19"	32.03
	"Florida"	"12"	"20-24 years"	"20-24"	88.14
	"Florida"	"12"	"25-29 years"	"25-29"	103.94
	"Florida"	"12"	"30-34 years"	"30-34"	89.13
	"Florida"	"12"	"35-39 years"	"35-39"	42.83
	"Florida"	"12"	"40-44 years"	"40-44"	9.77
	"Georgia"	"13"	"15-19 years"	"15-19"	41.43
	"Georgia"	"13"	"20-24 years"	"20-24"	104.33
	"Georgia"	"13"	"25-29 years"	"25-29"	107.56
	"Georgia"	"13"	"30-34 years"	"30-34"	88.47
	"Georgia"	"13"	"35-39 years"	"35-39"	40.54
	"Georgia"	"13"	"40-44 years"	"40-44"	9.19
	"Hawaii"	"15"	"15-19 years"	"15-19"	32.53
	"Hawaii"	"15"	"20-24 years"	"20-24"	101.99
	"Hawaii"	"15"	"25-29 years"	"25-29"	113.92
	"Hawaii"	"15"	"30-34 years"	"30-34"	106.38
	"Hawaii"	"15"	"35-39 years"	"35-39"	59.09
	"Hawaii"	"15"	"40-44 years"	"40-44"	15.51
	"Idaho"	"16"	"15-19 years"	"15-19"	33.02
	"Idaho"	"16"	"20-24 years"	"20-24"	118.54
	"Idaho"	"16"	"25-29 years"	"25-29"	145.81
	"Idaho"	"16"	"30-34 years"	"30-34"	100.83
	"Idaho"	"16"	"35-39 years"	"35-39"	40.65
	"Idaho"	"16"	"40-44 years"	"40-44"	8.57
	"Illinois"	"17"	"15-19 years"	"15-19"	33.01
	"Illinois"	"17"	"20-24 years"	"20-24"	79.43
	"Illinois"	"17"	"25-29 years"	"25-29"	100.39
	"Illinois"	"17"	"30-34 years"	"30-34"	102.78
	"Illinois"	"17"	"35-39 years"	"35-39"	48.80
	"Illinois"	"17"	"40-44 years"	"40-44"	10.86
	"Indiana"	"18"	"15-19 years"	"15-19"	37.35
	"Indiana"	"18"	"20-24 years"	"20-24"	100.64
	"Indiana"	"18"	"25-29 years"	"25-29"	122.50
	"Indiana"	"18"	"30-34 years"	"30-34"	89.99
	"Indiana"	"18"	"35-39 years"	"35-39"	34.90
	"Indiana"	"18"	"40-44 years"	"40-44"	6.89
	"Iowa"	"19"	"15-19 years"	"15-19"	28.57
	"Iowa"	"19"	"20-24 years"	"20-24"	89.74
	"Iowa"	"19"	"25-29 years"	"25-29"	134.06
	"Iowa"	"19"	"30-34 years"	"30-34"	102.29
	"Iowa"	"19"	"35-39 years"	"35-39"	38.41
	"Iowa"	"19"	"40-44 years"	"40-44"	8.02
	"Kansas"	"20"	"15-19 years"	"15-19"	39.25
	"Kansas"	"20"	"20-24 years"	"20-24"	109.41
	"Kansas"	"20"	"25-29 years"	"25-29"	130.25
	"Kansas"	"20"	"30-34 years"	"30-34"	100.54
	"Kansas"	"20"	"35-39 years"	"35-39"	42.15
	"Kansas"	"20"	"40-44 years"	"40-44"	8.81
	"Kentucky"	"21"	"15-19 years"	"15-19"	46.20
	"Kentucky"	"21"	"20-24 years"	"20-24"	115.86
